INSTITUTION NAME,AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
ASU,63,15-Aug-00,Professor,99458,English,Professor/Editor of Ap Journal
ASU,55,1-Jul-03,Professor,69352,"Languages, Literatures & Cultures",Associate Professor
ASU,66,16-Aug-99,Professor,77956,School Of Music,Professor
ASU,47,19-Aug-19,Professor,35000,Government & Justice Studies,Visiting Adjunct Professor
ASU,62,1-Jul-03,Associate Professor,95353,Computer Science,Associate Professor
ASU,46,21-Aug-07,Professor,68843,Philosophy & Religion,Professor
ASU,66,1-Jul-16,Professor (Primary) and Department Chair/Head,127500,Nutrition & Health Care Mgt.,Professor/Chair
ASU,35,22-Aug-17,Assistant Professor,63000,Chemistry & Fermentation Sciences,Assistant Professor
ASU,67,15-Aug-01,Professor,118111,English,McFarlane Distinguished Prof
ASU,50,25-Aug-09,Professor,88690,Health and Exercise Science (HES),Professor/Dir Stdnt Research
ASU,54,16-Aug-93,Professor,87855,Psychology,Professor
ASU,45,24-Aug-10,Associate Professor,76872,Leadership & Edu Studies,Assoc Prof/MLS Grad Prgrm Dir
ASU,62,15-Aug-86,Professor,86285,School Of Music,Professor
ASU,50,1-Jul-03,Professor,74187,History,Professor
ASU,31,16-Aug-08,Assistant Professor,70000,Nutrition & Health Care Mgt.,Assistant Professor
ASU,53,26-Aug-08,Associate Professor,65540,History,Associate Professor
ASU,52,24-Aug-04,Professor,72116,School Of Music,Professor
ASU,38,19-Aug-14,Associate Professor,70258,Biology,Associate Professor
ASU,44,20-Aug-13,Associate Professor,69044,Curriculum & Instruction,Associate Professor
ASU,37,16-Aug-16,Assistant Professor,112573,Marketing & Supply Chain Mgmt (SCM),Professor
ASU,44,22-Aug-17,Associate Professor,74520,Human Dev & Psych Counsel,Assoc Prof/Grad Prg Director
ASU,46,21-Aug-07,Professor,93894,Psychology,Professor
ASU,66,16-Jun-16,Assistant Professor,90060,Department of Nursing,Assistant Professor
ASU,45,10-Jan-04,Associate Professor,74527,English,Assoc Professor
ASU,37,17-Aug-20,Assistant Professor,48500,Interdisciplinary Studies,Visiting Assistant Professor
ASU,40,22-Aug-17,Assistant Professor,52000,Reading Education & Specl Education,Clinical Assistant Professor
ASU,31,17-Aug-20,Assistant Professor,66800,Biology,Lecturer
ASU,70,26-Aug-08,Associate Professor,74692,Leadership & Edu Studies,Associate Professor
ASU,42,22-Aug-17,Assistant Professor,57000,School Of Music,Professor
ASU,44,19-Aug-14,Associate Professor,72074,Art,Associate Professor
ASU,75,15-Aug-89,Professor,98084,History,Professor
ASU,60,21-Aug-12,Professor,134452,Mathematical Sciences,Distinguished Professor
ASU,61,1-Sep-97,Associate Professor,74600,Communication Sciences & Disorders,Associate Professor
ASU,39,17-Aug-15,Assistant Professor,65813,Biology,Assistant Professor
ASU,39,16-Aug-16,Assistant Professor,67500,Health and Exercise Science (HES),Assistant Professor
ASU,72,15-Aug-88,Professor (Primary) and Department Chair/Head,155416,Marketing & Supply Chain Mgmt (SCM),Professor
ASU,57,24-Aug-10,Associate Professor,83500,Department of Nursing,Assistant Professor
ASU,61,1-Jul-03,Professor,140110,Accounting,Professor
ASU,49,20-Aug-05,Professor,77842,Curriculum & Instruction,Professor
ASU,47,26-Aug-08,Professor,76211,Biology,Associate Professor
ASU,30,17-Aug-20,Assistant Professor,67000,Psychology,Visiting Assistant Professor
ASU,49,12-Jan-04,Associate Professor (Primary) and Department Chair/Head,88500,Family and Child Studies,Associate Professor/Chair
ASU,60,21-Aug-07,Professor,85218,Communication,Professor
ASU,65,17-Aug-87,Professor,88322,English,Professor
ASU,57,1-Jun-11,Professor,127682,Physics & Astronomy,Professor
ASU,37,19-Aug-19,Assistant Professor,62000,Sustainable Development,Assistant Professor
ASU,45,19-Aug-14,Associate Professor,72500,Social Work,Assistant Professor
ASU,42,23-Aug-05,Professor,81931,Psychology,Professor
ASU,51,21-Aug-07,Professor,83838,Curriculum & Instruction,Professor
ASU,41,13-May-00,Assistant Professor,54000,School Of Music,Assistant Professor
ASU,56,15-Aug-01,Associate Professor,68826,Geography & Planning,Associate Professor
ASU,47,22-Aug-06,Professor,80612,History,Professor/Grad Prog Director
ASU,40,26-Aug-08,Associate Professor,103893,Economics,Associate Professor
ASU,44,16-Aug-16,Assistant Professor,53298,School Of Music,Assistant Professor
ASU,48,23-Aug-05,Associate Professor,71438,Curriculum & Instruction,Associate Professor
ASU,42,1-Jul-12,Associate Professor,71425,Leadership & Edu Studies,Associate Professor
ASU,40,17-Aug-15,Assistant Professor,64500,Reading Education & Specl Education,Assistant Professor
ASU,31,19-Aug-19,Assistant Professor,60000,Art,Assistant Professor
ASU,46,24-Aug-10,Associate Professor,77760,Communication Sciences & Disorders,Associate Professor
ASU,55,16-Aug-16,Assistant Professor,57750,Government & Justice Studies,Assistant Professor
ASU,40,19-Aug-14,Associate Professor,68161,Sustainable Development,Assistant Professor
ASU,44,25-Aug-09,Associate Professor,70000,History,Assistant Professor
ASU,49,21-Aug-07,Professor (Primary) and Department Chair/Head,112750,Physics & Astronomy,Professor/Chairperson
ASU,62,15-Aug-86,Professor,151000,Computer Information Systems,Professor
ASU,72,15-Aug-97,Professor,121679,Management,Professor
ASU,62,15-Aug-00,Professor,167082,Physics & Astronomy,Prof/Dist Prof of Sci Ed
ASU,40,17-Aug-15,Assistant Professor,65026,Art,Assistant Professor
ASU,40,21-Aug-12,Associate Professor,65223,History,Associate Professor
ASU,63,15-Aug-00,Professor,81102,Human Dev & Psych Counsel,Professor
ASU,36,22-Aug-17,Assistant Professor,50000,Interdisciplinary Studies,Visiting Assistant Professor
ASU,59,1-Jul-18,Associate Professor (Primary) and Department Chair/Head,100000,Curriculum & Instruction,Associate Professor/Chair
ASU,64,15-Aug-97,Associate Professor,74625,History,Associate Professor
ASU,41,19-Aug-14,Associate Professor,64463,English,Associate Professor
ASU,37,19-Aug-14,Assistant Professor,61175,English,Assistant Professor
ASU,48,21-Aug-07,Professor,80116,Psychology,Professor
ASU,60,1-Aug-08,Professor,119484,History,Professor
ASU,44,21-Aug-07,Professor,81000,Geological & Environmental Sciences,Associate Professor
ASU,29,17-Aug-20,Assistant Professor,65000,Leadership & Edu Studies,Professor
ASU,50,27-Aug-02,Associate Professor,80086,University College,Associate Prof/Dir Univ Wr Ctr
ASU,30,17-Aug-20,Assistant Professor,130000,Management,Associate Professor
ASU,64,15-Aug-86,Professor (Primary) and Department Chair/Head,136292,Chemistry & Fermentation Sciences,Professor and Chair
ASU,43,17-Aug-15,Assistant Professor,60708,Anthropology,Assistant Professor
ASU,39,19-Aug-19,Assistant Professor,62500,Government & Justice Studies,Assistant Professor
ASU,45,17-Aug-15,Assistant Professor,64105,Anthropology,Assistant Professor
ASU,40,23-Aug-11,Associate Professor,75028,Geological & Environmental Sciences,Associate Professor
ASU,69,15-Aug-81,Professor,97896,Physics & Astronomy,Professor
ASU,49,24-Aug-04,Professor,140489,CARE,Professor
ASU,43,8-Jan-07,Associate Professor,72409,Chemistry & Fermentation Sciences,Associate Professor
ASU,35,17-Aug-20,Assistant Professor,66300,Physics & Astronomy,Lecturer
ASU,58,16-Aug-99,Associate Professor,61296,School Of Music,Associate Professor
ASU,35,21-Aug-18,Assistant Professor,72000,Communication Sciences & Disorders,Assistant Professor
ASU,44,23-Aug-11,Associate Professor,90976,Interdisciplinary Studies,Associate Professor
ASU,37,16-Aug-16,Assistant Professor,62050,Reading Education & Specl Education,Assistant Professor
ASU,53,1-Jul-03,Professor,131565,Computer Information Systems,Professor
ASU,79,1-Aug-96,Professor,75457,"Languages, Literatures & Cultures",Professor
ASU,35,19-Aug-19,Assistant Professor,57500,Communication,Lecturer
ASU,35,19-Aug-19,Assistant Professor,65000,Biology,Assistant Professor
ASU,43,17-Aug-15,Assistant Professor,112287,Computer Information Systems,Assistant Professor
ASU,37,1-Jul-15,Assistant Professor,65906,Chemistry & Fermentation Sciences,Assistant Professor
ASU,40,19-Aug-14,Associate Professor,74000,Health and Exercise Science (HES),Associate Professor
ASU,62,1-Aug-96,Associate Professor,77751,Human Dev & Psych Counsel,Assoc Professor
ASU,68,15-Aug-91,Professor,132299,Management,Prof/Dir Hosp & Tour Mgmt Prog
ASU,67,15-Aug-88,Professor,103732,Physics & Astronomy,Professor
ASU,55,9-Nov-05,Professor,74546,Interdisciplinary Studies,Associate Professor
ASU,45,24-Aug-04,Professor,81289,Physics & Astronomy,Professor
ASU,61,1-Jul-03,Professor,88000,Geography & Planning,Professor
ASU,65,1-Jul-16,Professor (Primary) and Department Chair/Head,127500,Health and Exercise Science (HES),Professor/Chairperson
ASU,54,12-Jan-09,Professor,85389,Health and Exercise Science (HES),Professor
ASU,40,22-Aug-17,Associate Professor,67000,Art,Associate Professor
ASU,78,15-Aug-87,Professor,78539,English,Professor
ASU,48,17-Aug-15,Professor,79093,Curriculum & Instruction,Prof/Grad Program Director
ASU,50,26-Aug-08,Associate Professor,75251,English,Assoc Prf/Dir TE/ExcDir CAS TE
ASU,40,26-Aug-08,Professor,72077,Mathematical Sciences,Professor
ASU,50,9-Jan-06,Professor,90000,Applied Design,Professor
ASU,52,26-Aug-08,Associate Professor,117355,Computer Information Systems,Associate Professor
ASU,64,15-Aug-88,Professor,90446,Geological & Environmental Sciences,Professor
ASU,35,19-Aug-19,Assistant Professor,142000,"Finance, Banking & Insurance",Assistant Professor
ASU,58,15-Aug-01,Professor,72568,"Languages, Literatures & Cultures",Professor
ASU,69,15-Aug-89,Professor,87306,Art,Professor
ASU,61,15-Aug-96,Professor,88875,Biology,Professor
ASU,36,21-Aug-18,Assistant Professor,118000,Management,Professor
ASU,41,23-Aug-11,Associate Professor,63095,Philosophy & Religion,Associate Professor
ASU,58,17-Aug-98,Associate Professor,71631,Geography & Planning,Associate Professor
ASU,65,15-Aug-95,Professor,93694,Mathematical Sciences,Prof/Teacher Ed Prog Director
ASU,29,1-Jun-20,Assistant Professor,54000,Library-Reference,Assistant Professor
ASU,42,13-Jan-14,Assistant Professor,66719,Chemistry & Fermentation Sciences,Assistant Professor
ASU,45,19-Aug-14,Associate Professor,72500,Social Work,Associate Professor
ASU,69,15-Aug-88,Professor,94645,Leadership & Edu Studies,Professor
ASU,33,17-Aug-20,Assistant Professor,48000,Interdisciplinary Studies,Adjunct Instructor
ASU,35,22-Aug-17,Assistant Professor,56500,Communication,Assistant Professor
ASU,48,21-Aug-07,Professor,133923,Marketing & Supply Chain Mgmt (SCM),Professor/MBA Director
ASU,48,10-Jan-05,Professor,74390,Theatre & Dance,Associate Professor
ASU,65,15-Aug-88,Professor,150569,Marketing & Supply Chain Mgmt (SCM),Professor/Dir SCM
ASU,40,21-Aug-18,Assistant Professor,65000,Biology,Assistant Professor
ASU,57,9-Jan-06,Assistant Professor,57810,Theatre & Dance,Assistant Professor
ASU,51,1-Aug-16,Professor (Primary) and Department Chair/Head,109200,Applied Design,Prof/Interim Chair
ASU,42,21-Aug-18,Assistant Professor,55000,Communication,Assistant Professor
ASU,73,1-Sep-77,Professor,155873,"Finance, Banking & Insurance",Professor
ASU,50,11-Jul-12,Associate Professor,69906,Communication,Assoc Prof/Assistant Chair
ASU,56,15-Aug-97,Professor,85209,Interdisciplinary Studies,Prof/Dir IDS/Co-Dir Doc Film
ASU,50,21-Aug-18,Assistant Professor,115000,Management,Visiting Assistant Professor
ASU,53,15-Aug-00,Associate Professor,98312,Economics,Associate Professor
ASU,38,19-Aug-19,Assistant Professor,65000,Reading Education & Specl Education,Assistant Professor
ASU,59,15-Aug-95,Professor,93926,Communication,Professor
ASU,49,26-Aug-08,Professor,77259,Curriculum & Instruction,Professor
ASU,63,24-Aug-10,Associate Professor,76622,Sustainable Technlgy & Built Envirn,Associate Professor
ASU,50,27-Aug-02,Professor,79761,"Languages, Literatures & Cultures",Professor
ASU,47,24-Aug-04,Professor,93617,Sociology,Prof/Undergrad Prgm Dir
ASU,39,17-Aug-15,Assistant Professor,65000,Geography & Planning,Assistant Professor
ASU,78,1-Sep-72,Professor,99265,Psychology,Professor
ASU,50,16-Aug-99,Professor,128563,Psychology,Professor
ASU,29,17-Aug-20,Assistant Professor,47000,Anthropology,Visiting Assistant Professor
ASU,52,1-Jul-03,Associate Professor,81642,Applied Design,Associate Professor
ASU,67,15-Aug-89,Professor,84577,English,Professor
ASU,55,26-Aug-08,Associate Professor,68721,Psychology,Associate Professor
ASU,53,1-Jul-04,Professor,133550,Economics,Professor
ASU,45,25-Aug-09,Professor (Primary) and Department Chair/Head,151823,Management,Professor/Chair
ASU,64,16-Aug-93,Professor,80719,Applied Design,Professor
ASU,67,4-Jan-17,Professor (Primary) and Department Chair/Head,150100,Communication Sciences & Disorders,Professor/Chair
ASU,40,27-Aug-02,Assistant Professor,57000,Art,Assistant Professor
ASU,62,17-Aug-92,Associate Professor,69541,English,Associate Professor
ASU,61,1-Jul-06,Professor,98083,Interdisciplinary Studies,Professor
ASU,68,15-Aug-91,Professor,84941,Philosophy & Religion,Professor
ASU,56,20-Aug-13,Professor,100394,English,Professor
ASU,35,16-Aug-16,Assistant Professor,71250,Geological & Environmental Sciences,Assistant Professor
ASU,64,1-Jan-81,Professor,80000,Accounting,Academic Advisor
ASU,49,23-Aug-11,Associate Professor,66946,Communication,Assistant Professor
ASU,41,25-Jan-13,Assistant Professor,92000,"Finance, Banking & Insurance",Assistant Professor
ASU,53,15-Aug-01,Professor,84925,English,Prof/Assistant Chairperson
ASU,51,23-Aug-05,Associate Professor,68153,Government & Justice Studies,Associate Professor
ASU,47,24-Aug-10,Associate Professor,73063,Applied Design,Associate Professor
ASU,38,21-Aug-07,Associate Professor,140373,Accounting,Associate Professor
ASU,45,17-Aug-15,Associate Professor,114238,Management,Associate Professor
ASU,63,23-Aug-11,Assistant Professor,112432,Marketing & Supply Chain Mgmt (SCM),Assistant Professor
ASU,50,23-Aug-05,Professor,70960,Philosophy & Religion,Professor
ASU,42,9-Aug-14,Associate Professor,63548,Philosophy & Religion,Associate Professor
ASU,49,26-Aug-08,Associate Professor,72828,Psychology,Associate Professor
ASU,49,21-Aug-18,Assistant Professor,61000,Philosophy & Religion,Assistant Professor
ASU,60,22-Aug-06,Professor,134578,Brantley Risk & Insurance Center,Professor/Dir Brantley Risk
ASU,31,19-Aug-19,Assistant Professor,60200,"Languages, Literatures & Cultures",Assistant Professor
ASU,36,21-Aug-18,Associate Professor,65000,Chemistry & Fermentation Sciences,Instructor/Research Specialist
ASU,67,21-Aug-12,Associate Professor,67109,Government & Justice Studies,Associate Professor
ASU,45,1-Jul-12,Associate Professor,70070,Biology,Associate Professor
ASU,32,22-Aug-17,Assistant Professor,69000,Geological & Environmental Sciences,Assistant Professor
ASU,57,16-Aug-93,Professor,81939,School Of Music,Professor
ASU,57,1-Jul-10,Associate Professor,71082,Sustainable Development,Associate Professor
ASU,64,1-Dec-08,Associate Professor,39536,Library,Adjunct Assistant Professor
ASU,39,22-Aug-17,Assistant Professor,68000,Nutrition & Health Care Mgt.,Assistant Professor
ASU,40,22-Aug-17,Assistant Professor,65000,Health and Exercise Science (HES),Visiting Assistant Professor
ASU,48,16-Aug-16,Assistant Professor,71280,Health and Exercise Science (HES),Assistant Prof/ES Grad Prg Dir
ASU,44,19-Aug-14,Associate Professor,70000,Social Work,Assistant Professor
ASU,56,15-Aug-96,Professor,111808,Computer Science,Professor/Grad Prog Director
ASU,44,2-Sep-05,Associate Professor,70895,Sustainable Technlgy & Built Envirn,Associate Professor
ASU,39,6-Nov-15,Assistant Professor,66800,Biology,Professor
ASU,57,17-Aug-98,Professor,76670,English,Professor
ASU,57,1-Jan-04,Associate Professor,67183,"Languages, Literatures & Cultures",Associate Professor
ASU,63,19-Aug-14,Assistant Professor,93420,Department of Nursing,Assistant Prof/MSN Prog Dir
ASU,53,26-Aug-08,Professor,75550,Curriculum & Instruction,Professor
ASU,48,22-Aug-06,Professor,74095,Art,Professor
ASU,45,16-Aug-16,Professor,71302,Art,Associate Professor
ASU,50,1-Jul-19,Professor (Primary) and Department Chair/Head,120000,English,Professor/Chair
ASU,69,24-Aug-10,Professor,52036,"Languages, Literatures & Cultures",Adj Inst/FL & Literatures
ASU,47,16-Aug-16,Associate Professor,120073,Marketing & Supply Chain Mgmt (SCM),Assistant Professor
ASU,67,23-Aug-11,Associate Professor,59713,College of Business,Academic Advisor
ASU,44,21-Aug-18,Assistant Professor,67000,Sustainable Technlgy & Built Envirn,Assistant Professor
ASU,35,19-Aug-19,Assistant Professor,64000,Applied Design,Assistant Professor
ASU,61,16-Aug-16,Assistant Professor,52500,Biology,Visiting Assistant Professor
ASU,44,22-Aug-06,Professor,78016,"Languages, Literatures & Cultures",Prof/Grad Prog Director
ASU,47,19-Aug-14,Associate Professor,63754,"Languages, Literatures & Cultures",Associate Professor
ASU,66,17-Aug-15,Associate Professor,79725,Government & Justice Studies,Associate Professor
ASU,58,24-Aug-04,Professor,75000,Recreation Mgmt and Phys Ed (RMPE),Professor
ASU,36,19-Aug-14,Assistant Professor,60500,History,Assistant Professor
ASU,59,24-Aug-04,Professor (Primary) and Department Chair/Head,93600,"Languages, Literatures & Cultures",Professor/Department Chair
ASU,52,21-Aug-18,Professor,92000,Communication Sciences & Disorders,Associate Professor
ASU,51,27-Aug-02,Professor,84410,Reading Education & Specl Education,Prof/Grad Program Dir
ASU,55,15-Aug-01,Associate Professor,71935,Theatre & Dance,Associate Professor
ASU,53,27-Aug-02,Associate Professor,70122,Psychology,Associate Professor
ASU,67,16-Apr-13,Professor,118875,Leadership & Edu Studies,Professor
ASU,51,1-Jul-03,Professor,78245,Psychology,Professor
ASU,40,21-Sep-11,Associate Professor,68110,Human Dev & Psych Counsel,Associate Professor
ASU,48,14-Jan-08,Associate Professor,71219,Biology,Associate Professor
ASU,34,19-Aug-14,Associate Professor,63754,"Languages, Literatures & Cultures",Associate Professor
ASU,43,1-Aug-19,Assistant Professor,60000,School Of Music,Assistant Professor
ASU,35,22-Aug-17,Assistant Professor,62000,Leadership & Edu Studies,Instructor
ASU,48,24-Aug-10,Associate Professor,72050,Biology,Associate Professor
ASU,64,15-Aug-90,Professor,84233,History,Professor
ASU,72,17-Oct-11,Associate Professor,133503,Art,Associate Professor
ASU,61,15-Aug-91,Professor,145226,"Finance, Banking & Insurance",Professor
ASU,64,15-Aug-86,Professor (Primary) and Department Chair/Head,118185,History,Professor and Chair
ASU,43,19-Aug-19,Assistant Professor,65000,School Of Music,Assistant Professor
ASU,40,19-Aug-14,Assistant Professor,60000,Anthropology,Assistant Professor
ASU,56,22-Jul-03,Associate Professor,64497,Interdisciplinary Studies,Associate Professor
ASU,47,26-Aug-08,Professor,101736,Health and Exercise Science (HES),Professor/ATP Program Dir
ASU,58,24-Aug-04,Professor,83686,Curriculum & Instruction,Professor
ASU,49,22-Aug-06,Professor,76818,Mathematical Sciences,Professor/Director
ASU,68,25-Aug-09,Professor,84291,Art,Professor
ASU,58,15-Aug-96,Professor,84649,Philosophy & Religion,Professor
ASU,44,26-Aug-08,Professor,71007,Communication,Professor
ASU,51,1-May-20,Assistant Professor,54000,Library-Materials Processing,Assistant Professor
ASU,51,17-Aug-98,Professor,82906,Mathematical Sciences,Professor
ASU,54,25-Aug-09,Associate Professor,68000,Communication,Associate Professor
ASU,45,21-Aug-18,Assistant Professor,68000,Nutrition & Health Care Mgt.,Assistant Professor
ASU,54,1-Aug-96,Professor,103531,Psychology,Prof/ CH Program Dir
ASU,55,24-Aug-04,Professor,80002,Curriculum & Instruction,Professor
ASU,52,24-Aug-04,Associate Professor,87600,Reading Education & Specl Education,Associate Professor
ASU,59,27-Aug-02,Professor,110632,Economics,Professor
ASU,59,17-Jan-95,Professor,78916,English,Professor
ASU,57,21-Aug-07,Professor,77203,Curriculum & Instruction,Professor
ASU,69,23-Aug-05,Professor,72496,Art,Professor
ASU,37,21-Aug-18,Assistant Professor,98000,Economics,Assistant Professor
ASU,55,26-Aug-08,Professor,73021,English,Professor
ASU,68,25-Aug-09,Professor,79799,Leadership & Edu Studies,Professor
ASU,56,21-Aug-07,Professor,79659,Leadership & Edu Studies,Professor/MSA Grad Prg Dir
ASU,43,25-Aug-09,Professor,93300,Nutrition & Health Care Mgt.,Professor/UG Prog Dir
ASU,61,15-Jan-87,Professor,122902,Marketing & Supply Chain Mgmt (SCM),Professor
ASU,35,26-Jun-09,Assistant Professor,130000,"Finance, Banking & Insurance",Assistant Professor
ASU,36,19-Aug-14,Associate Professor,62194,Theatre & Dance,Assistant Professor
ASU,58,17-Aug-98,Professor,85419,Geological & Environmental Sciences,Professor
ASU,53,17-Aug-20,Associate Professor,87000,Department of Nursing,Associate Professor
ASU,55,17-Aug-98,Professor,87064,Philosophy & Religion,Professor
ASU,42,25-Aug-09,Associate Professor,73091,Chemistry & Fermentation Sciences,Associate Professor
ASU,38,20-Aug-13,Associate Professor,72500,Social Work,Assistant Professor
ASU,35,17-Aug-15,Assistant Professor,64110,Human Dev & Psych Counsel,Assistant Professor
ASU,33,21-Aug-18,Assistant Professor,87500,Computer Science,Assistant Professor
ASU,33,16-Aug-16,Assistant Professor,56995,Communication,Assistant Professor
ASU,40,23-Aug-11,Associate Professor,63548,Philosophy & Religion,Associate Professor
ASU,53,21-Aug-18,Assistant Professor,93000,Communication Sciences & Disorders,Clinical Assistant Professor
ASU,44,19-Aug-14,Assistant Professor,53000,School Of Music,Assistant Professor
ASU,52,14-Jan-08,Professor,69592,Center for Appalachian Studies,Professor/Int Dir App Studies
ASU,41,17-Aug-20,Associate Professor,83000,Nutrition & Health Care Mgt.,Professor
ASU,51,24-Aug-04,Associate Professor,70000,Recreation Mgmt and Phys Ed (RMPE),Associate Professor
ASU,55,16-Aug-16,Assistant Professor,109573,Computer Information Systems,Assistant Professor
ASU,54,17-Aug-20,Assistant Professor,143500,Accounting,Professor
ASU,51,17-Aug-20,Assistant Professor,64000,Leadership & Edu Studies,Associate Professor
ASU,39,17-Jan-17,Assistant Professor,72500,Communication Sciences & Disorders,Assistant Professor
ASU,49,23-Aug-05,Professor,81026,Geological & Environmental Sciences,Professor
ASU,60,5-Jul-18,Assistant Professor,64000,Reading Education & Specl Education,Assistant Professor
ASU,39,17-Aug-15,Associate Professor,78300,Health and Exercise Science (HES),Assoc Prof/Public Health PD
ASU,32,17-Aug-15,Assistant Professor,65500,Applied Design,Assistant Professor
ASU,61,25-Aug-09,Professor (Primary) and Department Chair/Head,100410,Theatre & Dance,Professor/Chair
ASU,44,24-Aug-04,Professor,77505,Theatre & Dance,Professor
ASU,37,1-Aug-16,Assistant Professor,81008,Psychology,Clinical Assistant Professor
ASU,41,30-Jan-98,Associate Professor,72153,Physics & Astronomy,Assistant Professor
ASU,38,19-Aug-14,Associate Professor,66651,Government & Justice Studies,Assistant Professor
ASU,64,17-Aug-92,Associate Professor,75206,Psychology,Assoc Prof/Ombudsman
ASU,59,15-Aug-90,Professor,95577,Mathematical Sciences,Prof/Dir Grad Secondary Ed
ASU,64,15-Aug-90,Professor,97230,Mathematical Sciences,Professor
ASU,44,23-Aug-05,Professor,136818,"Finance, Banking & Insurance",Professor
ASU,61,22-Aug-06,Professor,135406,Accounting,Professor
ASU,42,20-Aug-13,Associate Professor,73945,Art,Assoc Prof/Assistant Chair
ASU,33,19-Aug-19,Assistant Professor,142000,"Finance, Banking & Insurance",Assistant Professor
ASU,51,26-Aug-08,Professor,73868,Government & Justice Studies,Professor
ASU,32,22-Aug-17,Assistant Professor,64500,Psychology,Lecturer
ASU,49,24-Aug-10,Associate Professor,65020,Communication,Associate Professor
ASU,29,19-Aug-19,Assistant Professor,56000,Psychology,Visiting Assistant Professor
ASU,39,17-Aug-20,Assistant Professor,55500,Art,Assistant Professor
ASU,64,17-Aug-92,Professor,87168,School Of Music,Professor
ASU,42,17-Aug-15,Associate Professor,68954,English,Associate Professor
ASU,68,15-Aug-95,Professor,73957,English,Professor
ASU,53,15-Aug-00,Professor,77056,History,Professor
ASU,60,1-Jun-09,Associate Professor,74343,Leadership & Edu Studies,Professor
ASU,61,25-Aug-09,Associate Professor,72515,Sustainable Technlgy & Built Envirn,Associate Professor
ASU,65,26-Aug-08,Professor,80344,Leadership & Edu Studies,Prof/Graduate Program Dir
ASU,38,17-Aug-15,Assistant Professor,68370,Health and Exercise Science (HES),Assistant Professor
ASU,51,15-Aug-95,Professor,77760,Art,Professor
ASU,51,26-Aug-08,Associate Professor,79260,Social Work,Associate Professor
ASU,54,15-Aug-97,Professor,107796,Psychology,Professor/Dir of I/O Program
ASU,48,24-Aug-04,Professor (Primary) and Department Chair/Head,155641,Computer Information Systems,Prof/CIS Chairperson
ASU,58,21-Aug-07,Associate Professor,67922,Government & Justice Studies,Associate Professor
ASU,48,21-Aug-18,Assistant Professor,42500,English,Visiting Assistant Professor
ASU,73,15-Aug-86,Professor,96305,Accounting,Professor
ASU,42,17-Aug-15,Associate Professor,66379,Sustainable Development,Associate Professor
